name,url,type,website
Anxiety disorders,https://www.mayoclinic.org/diseases-conditions/anxiety/symptoms-causes/syc-20350961,disease,Mayo Clinic
Aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/aortic-aneurysm/symptoms-causes/syc-20369472,disease,Mayo Clinic
Aortic dissection,https://www.mayoclinic.org/diseases-conditions/aortic-dissection/symptoms-causes/syc-20369496,disease,Mayo Clinic
Aortic valve disease,https://www.mayoclinic.org/diseases-conditions/aortic-valve-disease/symptoms-causes/syc-20355117,disease,Mayo Clinic
Aortic valve regurgitation,https://www.mayoclinic.org/diseases-conditions/aortic-valve-regurgitation/symptoms-causes/syc-20353129,disease,Mayo Clinic
Aortic valve stenosis,https://www.mayoclinic.org/diseases-conditions/aortic-stenosis/symptoms-causes/syc-20353139,disease,Mayo Clinic
Aphasia,https://www.mayoclinic.org/diseases-conditions/aphasia/symptoms-causes/syc-20369518,disease,Mayo Clinic
Aplastic anemia,https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/symptoms-causes/syc-20355015,disease,Mayo Clinic
Appendicitis,https://www.mayoclinic.org/diseases-conditions/appendicitis/symptoms-causes/syc-20369543,disease,Mayo Clinic
ARDS,https://www.mayoclinic.org/diseases-conditions/ards/symptoms-causes/syc-20355576,disease,Mayo Clinic
Arteriosclerosis / atherosclerosis,https://www.mayoclinic.org/diseases-conditions/arteriosclerosis-atherosclerosis/symptoms-causes/syc-20350569,disease,Mayo Clinic
Arteriovenous fistula,https://www.mayoclinic.org/diseases-conditions/arteriovenous-fistula/symptoms-causes/syc-20369567,disease,Mayo Clinic
Arteriovenous malformation,https://www.mayoclinic.org/diseases-conditions/arteriovenous-malformation/symptoms-causes/syc-20350544,disease,Mayo Clinic
Arthritis,https://www.mayoclinic.org/diseases-conditions/arthritis/symptoms-causes/syc-20350772,disease,Mayo Clinic
Asbestosis,https://www.mayoclinic.org/diseases-conditions/asbestosis/symptoms-causes/syc-20354637,disease,Mayo Clinic
Ascariasis,https://www.mayoclinic.org/diseases-conditions/ascariasis/symptoms-causes/syc-20369593,disease,Mayo Clinic
Aspergillosis,https://www.mayoclinic.org/diseases-conditions/aspergillosis/symptoms-causes/syc-20369619,disease,Mayo Clinic
Asthma,https://www.mayoclinic.org/diseases-conditions/asthma/symptoms-causes/syc-20369653,disease,Mayo Clinic
Asthma attack,https://www.mayoclinic.org/diseases-conditions/asthma-attack/symptoms-causes/syc-20354268,disease,Mayo Clinic
Astigmatism,https://www.mayoclinic.org/diseases-conditions/astigmatism/symptoms-causes/syc-20353835,disease,Mayo Clinic
Astrocytoma,https://www.mayoclinic.org/diseases-conditions/astrocytoma/cdc-20350132,disease,Mayo Clinic
Ataxia,https://www.mayoclinic.org/diseases-conditions/ataxia/symptoms-causes/syc-20355652,disease,Mayo Clinic
Atelectasis,https://www.mayoclinic.org/diseases-conditions/atelectasis/symptoms-causes/syc-20369684,disease,Mayo Clinic
Athlete's foot,https://www.mayoclinic.org/diseases-conditions/athletes-foot/symptoms-causes/syc-20353841,disease,Mayo Clinic
Atopic dermatitis (eczema),https://www.mayoclinic.org/diseases-conditions/atopic-dermatitis-eczema/symptoms-causes/syc-20353273,disease,Mayo Clinic
Atrial fibrillation,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624,disease,Mayo Clinic
Atrial flutter,https://www.mayoclinic.org/diseases-conditions/atrial-flutter/symptoms-causes/syc-20352586,disease,Mayo Clinic
Atrial septal defect (ASD),https://www.mayoclinic.org/diseases-conditions/atrial-septal-defect/symptoms-causes/syc-20369715,disease,Mayo Clinic
Atrial tachycardia,https://www.mayoclinic.org/diseases-conditions/atrial-tachycardia/cdc-20355258,disease,Mayo Clinic
Atrioventricular canal defect,https://www.mayoclinic.org/diseases-conditions/atrioventricular-canal-defect/symptoms-causes/syc-20361492,disease,Mayo Clinic
Atrioventricular nodal reentry tachycardia (AVNRT),https://www.mayoclinic.org/diseases-conditions/avnrt/cdc-20355254,disease,Mayo Clinic
Attention-deficit/hyperactivity disorder (ADHD) in children,https://www.mayoclinic.org/diseases-conditions/adhd/symptoms-causes/syc-20350889,disease,Mayo Clinic
Atypical hyperplasia of the breast,https://www.mayoclinic.org/diseases-conditions/atypical-hyperplasia/symptoms-causes/syc-20369773,disease,Mayo Clinic
Autism spectrum disorder,https://www.mayoclinic.org/diseases-conditions/autism-spectrum-disorder/symptoms-causes/syc-20352928,disease,Mayo Clinic
Autoimmune hepatitis,https://www.mayoclinic.org/diseases-conditions/autoimmune-hepatitis/symptoms-causes/syc-20352153,disease,Mayo Clinic
Autoimmune pancreatitis,https://www.mayoclinic.org/diseases-conditions/autoimmune-pancreatitis/symptoms-causes/syc-20369800,disease,Mayo Clinic
Autonomic neuropathy,https://www.mayoclinic.org/diseases-conditions/autonomic-neuropathy/symptoms-causes/syc-20369829,disease,Mayo Clinic
Avascular necrosis (osteonecrosis),https://www.mayoclinic.org/diseases-conditions/avascular-necrosis/symptoms-causes/syc-20369859,disease,Mayo Clinic
Baby acne,https://www.mayoclinic.org/diseases-conditions/baby-acne/symptoms-causes/syc-20369880,disease,Mayo Clinic
Back pain,https://www.mayoclinic.org/diseases-conditions/back-pain/symptoms-causes/syc-20369906,disease,Mayo Clinic
Bacterial vaginosis,https://www.mayoclinic.org/diseases-conditions/bacterial-vaginosis/symptoms-causes/syc-20352279,disease,Mayo Clinic
Bad breath,https://www.mayoclinic.org/diseases-conditions/bad-breath/symptoms-causes/syc-20350922,disease,Mayo Clinic
Bags under eyes,https://www.mayoclinic.org/diseases-conditions/bags-under-eyes/symptoms-causes/syc-20369927,disease,Mayo Clinic
Baker cyst,https://www.mayoclinic.org/diseases-conditions/bakers-cyst/symptoms-causes/syc-20369950,disease,Mayo Clinic
Balance problems,https://www.mayoclinic.org/diseases-conditions/balance-problems/symptoms-causes/syc-20350474,disease,Mayo Clinic
Barrett's esophagus,https://www.mayoclinic.org/diseases-conditions/barretts-esophagus/symptoms-causes/syc-20352841,disease,Mayo Clinic
Bartholin's cyst,https://www.mayoclinic.org/diseases-conditions/bartholin-cyst/symptoms-causes/syc-20369976,disease,Mayo Clinic
Basal cell carcinoma,https://www.mayoclinic.org/diseases-conditions/basal-cell-carcinoma/symptoms-causes/syc-20354187,disease,Mayo Clinic
Bedbugs,https://www.mayoclinic.org/diseases-conditions/bedbugs/symptoms-causes/syc-20370001,disease,Mayo Clinic
Bedsores (pressure ulcers),https://www.mayoclinic.org/diseases-conditions/bed-sores/symptoms-causes/syc-20355893,disease,Mayo Clinic
Bed-wetting,https://www.mayoclinic.org/diseases-conditions/bed-wetting/symptoms-causes/syc-20366685,disease,Mayo Clinic
Bee sting,https://www.mayoclinic.org/diseases-conditions/bee-stings/symptoms-causes/syc-20353869,disease,Mayo Clinic
Behcet's disease,https://www.mayoclinic.org/diseases-conditions/behcets-disease/symptoms-causes/syc-20351326,disease,Mayo Clinic
Bell's palsy,https://www.mayoclinic.org/diseases-conditions/bells-palsy/symptoms-causes/syc-20370028,disease,Mayo Clinic
Benign adrenal tumors,https://www.mayoclinic.org/diseases-conditions/benign-adrenal-tumors/symptoms-causes/syc-20356190,disease,Mayo Clinic
Benign paroxysmal positional vertigo (BPPV),https://www.mayoclinic.org/diseases-conditions/vertigo/symptoms-causes/syc-20370055,disease,Mayo Clinic
Benign peripheral nerve tumor,https://www.mayoclinic.org/diseases-conditions/peripheral-nerve-tumors-benign/symptoms-causes/syc-20368680,disease,Mayo Clinic
Benign prostatic hyperplasia (BPH),https://www.mayoclinic.org/diseases-conditions/benign-prostatic-hyperplasia/symptoms-causes/syc-20370087,disease,Mayo Clinic
Bicuspid aortic valve,https://www.mayoclinic.org/diseases-conditions/bicuspid-aortic-valve/cdc-20385577,disease,Mayo Clinic
Bile reflux,https://www.mayoclinic.org/diseases-conditions/bile-reflux/symptoms-causes/syc-20370115,disease,Mayo Clinic
Binge-eating disorder,https://www.mayoclinic.org/diseases-conditions/binge-eating-disorder/symptoms-causes/syc-20353627,disease,Mayo Clinic
Bipolar disorder,https://www.mayoclinic.org/diseases-conditions/bipolar-disorder/symptoms-causes/syc-20355955,disease,Mayo Clinic
Black hairy tongue,https://www.mayoclinic.org/diseases-conditions/black-hairy-tongue/symptoms-causes/syc-20356077,disease,Mayo Clinic
Bladder cancer,https://www.mayoclinic.org/diseases-conditions/bladder-cancer/symptoms-causes/syc-20356104,disease,Mayo Clinic
Bladder exstrophy,https://www.mayoclinic.org/diseases-conditions/bladder-exstrophy/symptoms-causes/syc-20391299,disease,Mayo Clinic
Bladder stones,https://www.mayoclinic.org/diseases-conditions/bladder-stones/symptoms-causes/syc-20354339,disease,Mayo Clinic
Blastocystis hominis,https://www.mayoclinic.org/diseases-conditions/blastocystis-hominis-infection/symptoms-causes/syc-20351205,disease,Mayo Clinic
Blepharitis,https://www.mayoclinic.org/diseases-conditions/blepharitis/symptoms-causes/syc-20370141,disease,Mayo Clinic
Blocked tear duct,https://www.mayoclinic.org/diseases-conditions/blocked-tear-duct/symptoms-causes/syc-20351369,disease,Mayo Clinic
Blood in urine (hematuria),https://www.mayoclinic.org/diseases-conditions/blood-in-urine/symptoms-causes/syc-20353432,disease,Mayo Clinic
Body dysmorphic disorder,https://www.mayoclinic.org/diseases-conditions/body-dysmorphic-disorder/symptoms-causes/syc-20353938,disease,Mayo Clinic
Body lice,https://www.mayoclinic.org/diseases-conditions/body-lice/symptoms-causes/syc-20350310,disease,Mayo Clinic
Boils and carbuncles,https://www.mayoclinic.org/diseases-conditions/boils-and-carbuncles/symptoms-causes/syc-20353770,disease,Mayo Clinic
Bone cancer,https://www.mayoclinic.org/diseases-conditions/bone-cancer/symptoms-causes/syc-20350217,disease,Mayo Clinic
Bone metastasis,https://www.mayoclinic.org/diseases-conditions/bone-metastasis/symptoms-causes/syc-20370191,disease,Mayo Clinic
Bone spurs,https://www.mayoclinic.org/diseases-conditions/bone-spurs/symptoms-causes/syc-20370212,disease,Mayo Clinic
Borderline personality disorder,https://www.mayoclinic.org/diseases-conditions/borderline-personality-disorder/symptoms-causes/syc-20370237,disease,Mayo Clinic
Botulism,https://www.mayoclinic.org/diseases-conditions/botulism/symptoms-causes/syc-20370262,disease,Mayo Clinic
Brachial plexus injury,https://www.mayoclinic.org/diseases-conditions/brachial-plexus-injury/symptoms-causes/syc-20350235,disease,Mayo Clinic
Bradycardia,https://www.mayoclinic.org/diseases-conditions/bradycardia/symptoms-causes/syc-20355474,disease,Mayo Clinic
Brain aneurysm,https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/symptoms-causes/syc-20361483,disease,Mayo Clinic
Brain AVM (arteriovenous malformation),https://www.mayoclinic.org/diseases-conditions/brain-avm/symptoms-causes/syc-20350260,disease,Mayo Clinic
Brain metastases,https://www.mayoclinic.org/diseases-conditions/brain-metastases/symptoms-causes/syc-20350136,disease,Mayo Clinic
Brain tumor,https://www.mayoclinic.org/diseases-conditions/brain-tumor/symptoms-causes/syc-20350084,disease,Mayo Clinic
Breast cancer,https://www.mayoclinic.org/diseases-conditions/breast-cancer/symptoms-causes/syc-20352470,disease,Mayo Clinic
Breast cysts,https://www.mayoclinic.org/diseases-conditions/breast-cysts/symptoms-causes/syc-20370284,disease,Mayo Clinic
Breast pain,https://www.mayoclinic.org/diseases-conditions/breast-pain/symptoms-causes/syc-20350423,disease,Mayo Clinic
Broken ankle,https://www.mayoclinic.org/diseases-conditions/broken-ankle/symptoms-causes/syc-20450025,disease,Mayo Clinic
Broken arm,https://www.mayoclinic.org/diseases-conditions/broken-arm/symptoms-causes/syc-20353260,disease,Mayo Clinic
Broken collarbone,https://www.mayoclinic.org/diseases-conditions/broken-collarbone/symptoms-causes/syc-20370311,disease,Mayo Clinic
Broken foot,https://www.mayoclinic.org/diseases-conditions/broken-foot/symptoms-causes/syc-20355492,disease,Mayo Clinic
Broken hand,https://www.mayoclinic.org/diseases-conditions/broken-hand/symptoms-causes/syc-20450240,disease,Mayo Clinic
Broken heart syndrome,https://www.mayoclinic.org/diseases-conditions/broken-heart-syndrome/symptoms-causes/syc-20354617,disease,Mayo Clinic
Broken leg,https://www.mayoclinic.org/diseases-conditions/broken-leg/symptoms-causes/syc-20370412,disease,Mayo Clinic
Broken nose,https://www.mayoclinic.org/diseases-conditions/broken-nose/symptoms-causes/syc-20370439,disease,Mayo Clinic
Broken ribs,https://www.mayoclinic.org/diseases-conditions/broken-ribs/symptoms-causes/syc-20350763,disease,Mayo Clinic
Broken toe,https://www.mayoclinic.org/diseases-conditions/broken-toe/symptoms-causes/syc-20370463,disease,Mayo Clinic
Broken wrist,https://www.mayoclinic.org/diseases-conditions/broken-wrist/symptoms-causes/syc-20353169,disease,Mayo Clinic
Bronchiolitis,https://www.mayoclinic.org/diseases-conditions/bronchiolitis/symptoms-causes/syc-20351565,disease,Mayo Clinic
Bronchitis,https://www.mayoclinic.org/diseases-conditions/bronchitis/symptoms-causes/syc-20355566,disease,Mayo Clinic
Brucellosis,https://www.mayoclinic.org/diseases-conditions/brucellosis/symptoms-causes/syc-20351738,disease,Mayo Clinic
Brugada syndrome,https://www.mayoclinic.org/diseases-conditions/brugada-syndrome/symptoms-causes/syc-20370489,disease,Mayo Clinic
Bruxism (teeth grinding),https://www.mayoclinic.org/diseases-conditions/bruxism/symptoms-causes/syc-20356095,disease,Mayo Clinic
Buerger disease,https://www.mayoclinic.org/diseases-conditions/buergers-disease/symptoms-causes/syc-20350658,disease,Mayo Clinic
Bulimia nervosa,https://www.mayoclinic.org/diseases-conditions/bulimia/symptoms-causes/syc-20353615,disease,Mayo Clinic
Bullous pemphigoid,https://www.mayoclinic.org/diseases-conditions/bullous-pemphigoid/symptoms-causes/syc-20350414,disease,Mayo Clinic
Bundle branch block,https://www.mayoclinic.org/diseases-conditions/bundle-branch-block/symptoms-causes/syc-20370514,disease,Mayo Clinic
Bunions,https://www.mayoclinic.org/diseases-conditions/bunions/symptoms-causes/syc-20354799,disease,Mayo Clinic
Burning mouth syndrome,https://www.mayoclinic.org/diseases-conditions/burning-mouth-syndrome/symptoms-causes/syc-20350911,disease,Mayo Clinic
Burns,https://www.mayoclinic.org/diseases-conditions/burns/symptoms-causes/syc-20370539,disease,Mayo Clinic
Bursitis,https://www.mayoclinic.org/diseases-conditions/bursitis/symptoms-causes/syc-20353242,disease,Mayo Clinic
C. difficile infection,https://www.mayoclinic.org/diseases-conditions/c-difficile/symptoms-causes/syc-20351691,disease,Mayo Clinic
Calciphylaxis,https://www.mayoclinic.org/diseases-conditions/calciphylaxis/symptoms-causes/syc-20370559,disease,Mayo Clinic
Cancer,https://www.mayoclinic.org/diseases-conditions/cancer/symptoms-causes/syc-20370588,disease,Mayo Clinic
Canker sore,https://www.mayoclinic.org/diseases-conditions/canker-sore/symptoms-causes/syc-20370615,disease,Mayo Clinic
Carbon monoxide poisoning,https://www.mayoclinic.org/diseases-conditions/carbon-monoxide/symptoms-causes/syc-20370642,disease,Mayo Clinic
Carcinoid syndrome,https://www.mayoclinic.org/diseases-conditions/carcinoid-syndrome/symptoms-causes/syc-20370666,disease,Mayo Clinic
Carcinoid tumors,https://www.mayoclinic.org/diseases-conditions/carcinoid-tumors/symptoms-causes/syc-20351039,disease,Mayo Clinic
Carcinoma of unknown primary,https://www.mayoclinic.org/diseases-conditions/carcinoma-unknown-primary/symptoms-causes/syc-20370683,disease,Mayo Clinic
Cardiogenic shock,https://www.mayoclinic.org/diseases-conditions/cardiogenic-shock/symptoms-causes/syc-20366739,disease,Mayo Clinic
Cardiomyopathy,https://www.mayoclinic.org/diseases-conditions/cardiomyopathy/symptoms-causes/syc-20370709,disease,Mayo Clinic
Carotid artery disease,https://www.mayoclinic.org/diseases-conditions/carotid-artery-disease/symptoms-causes/syc-20360519,disease,Mayo Clinic
Carpal tunnel syndrome,https://www.mayoclinic.org/diseases-conditions/carpal-tunnel-syndrome/symptoms-causes/syc-20355603,disease,Mayo Clinic
Castleman disease,https://www.mayoclinic.org/diseases-conditions/castleman-disease/symptoms-causes/syc-20543017,disease,Mayo Clinic
Cataracts,https://www.mayoclinic.org/diseases-conditions/cataracts/symptoms-causes/syc-20353790,disease,Mayo Clinic
Cavernous malformations,https://www.mayoclinic.org/diseases-conditions/cavernous-malformations/symptoms-causes/syc-20360941,disease,Mayo Clinic
Cavities/tooth decay,https://www.mayoclinic.org/diseases-conditions/cavities/symptoms-causes/syc-20352892,disease,Mayo Clinic
Celiac disease,https://www.mayoclinic.org/diseases-conditions/celiac-disease/symptoms-causes/syc-20352220,disease,Mayo Clinic
Cellulite,https://www.mayoclinic.org/diseases-conditions/cellulite/symptoms-causes/syc-20354945,disease,Mayo Clinic
Cellulitis,https://www.mayoclinic.org/diseases-conditions/cellulitis/symptoms-causes/syc-20370762,disease,Mayo Clinic
Central nervous system vascular malformations,https://www.mayoclinic.org/diseases-conditions/central-nervous-system-vascular-malformations/symptoms-causes/syc-20356113,disease,Mayo Clinic
Central sleep apnea,https://www.mayoclinic.org/diseases-conditions/central-sleep-apnea/symptoms-causes/syc-20352109,disease,Mayo Clinic
Cerebral palsy,https://www.mayoclinic.org/diseases-conditions/cerebral-palsy/symptoms-causes/syc-20353999,disease,Mayo Clinic
Cervical cancer,https://www.mayoclinic.org/diseases-conditions/cervical-cancer/symptoms-causes/syc-20352501,disease,Mayo Clinic
Cervical dystonia,https://www.mayoclinic.org/diseases-conditions/cervical-dystonia/symptoms-causes/syc-20354123,disease,Mayo Clinic
Cervical spondylosis,https://www.mayoclinic.org/diseases-conditions/cervical-spondylosis/symptoms-causes/syc-20370787,disease,Mayo Clinic
Cervicitis,https://www.mayoclinic.org/diseases-conditions/cervicitis/symptoms-causes/syc-20370814,disease,Mayo Clinic
Chagas disease,https://www.mayoclinic.org/diseases-conditions/chagas-disease/symptoms-causes/syc-20356212,disease,Mayo Clinic
Charcot-Marie-Tooth disease,https://www.mayoclinic.org/diseases-conditions/charcot-marie-tooth-disease/symptoms-causes/syc-20350517,disease,Mayo Clinic
Chemo brain,https://www.mayoclinic.org/diseases-conditions/chemo-brain/symptoms-causes/syc-20351060,disease,Mayo Clinic
Chest pain,https://www.mayoclinic.org/diseases-conditions/chest-pain/symptoms-causes/syc-20370838,disease,Mayo Clinic
Chiari malformation,https://www.mayoclinic.org/diseases-conditions/chiari-malformation/symptoms-causes/syc-20354010,disease,Mayo Clinic
Chickenpox,https://www.mayoclinic.org/diseases-conditions/chickenpox/symptoms-causes/syc-20351282,disease,Mayo Clinic
Chilblains,https://www.mayoclinic.org/diseases-conditions/chilblains/symptoms-causes/syc-20351097,disease,Mayo Clinic
Child abuse,https://www.mayoclinic.org/diseases-conditions/child-abuse/symptoms-causes/syc-20370864,disease,Mayo Clinic
Childhood apraxia of speech,https://www.mayoclinic.org/diseases-conditions/childhood-apraxia-of-speech/symptoms-causes/syc-20352045,disease,Mayo Clinic
Childhood asthma,https://www.mayoclinic.org/diseases-conditions/childhood-asthma/symptoms-causes/syc-20351507,disease,Mayo Clinic
Childhood obesity,https://www.mayoclinic.org/diseases-conditions/childhood-obesity/symptoms-causes/syc-20354827,disease,Mayo Clinic
Childhood schizophrenia,https://www.mayoclinic.org/diseases-conditions/childhood-schizophrenia/symptoms-causes/syc-20354483,disease,Mayo Clinic
Chlamydia trachomatis,https://www.mayoclinic.org/diseases-conditions/chlamydia/symptoms-causes/syc-20355349,disease,Mayo Clinic
Cholangiocarcinoma (bile duct cancer),https://www.mayoclinic.org/diseases-conditions/cholangiocarcinoma/symptoms-causes/syc-20352408,disease,Mayo Clinic
